source,log_message,target_label
AuthService,IP 192.168.1.100 blocked after 10 failed login attempts (Instance ID 1000),Security Alert
AuthService,Admin access escalation detected for user guest_user (Instance ID 1001),Security Alert
AuthService,JWT signature verification failed for incoming request header (Instance ID 1002),Unclassified
AuthService,API key api_key_992a expired; request rejected (Instance ID 1003),Unclassified
BillingSystem,Unauthorized access attempt to billing vault from subnet 10.20.0.0/16 (Instance ID 1004),Security Alert
GatewayService,Cross-site scripting (XSS) payload detected in URL query string (Instance ID 1005),Unclassified
GatewayService,SQL injection attempt detected in search input field: SELECT * FROM users (Instance ID 1006),Security Alert
ModernCRM,User account compromised alert: account user_908 logged in from two distant geographic locations (Instance ID 1007),Security Alert
ModernHR,HR admin credentials leaked detection alert (Instance ID 1008),Security Alert
PaymentGateway,Credit card charge failed: expiration date is invalid (Instance ID 1009),Unclassified
PaymentGateway,Refund processing aborted: transaction tx_8841 not found (Instance ID 1010),Unclassified
PaymentGateway,Webhook dispatch to customer endpoint failed with RCODE 500,Unclassified
BillingSystem,Invoice creation aborted for subscription sub_1241: invalid VAT format (Instance ID 1012),Unclassified
BillingSystem,Failed to calculate taxes: tax calculation module offline (Instance ID 1013),Unclassified
LegacyCRM,Case escalation rule failed: assignee is no longer active in CRM (Instance ID 1014), Workflow Error 
LegacyCRM,Bulk email campaign aborted: template file template_welcome.html not found (Instance ID 1015), Workflow Error 
AnalyticsEngine,Report compilation failed: out of memory during PDF generation (Instance ID 1016),Unclassified
AnalyticsEngine,Data export process halted: disk space critical (Instance ID 1017),Unclassified
LegacyCRM,The 'BulkEmailSender' feature is no longer supported. Use 'EmailCampaignManager' instead., (2) Deprecation Warning 
LegacyCRM,The 'ReportGenerator' module will be retired in version 4.0. Please migrate to 'AdvancedAnalyticsSuite' (Instance ID 1019), (2) Deprecation Warning 
ModernHR,Deprecation warning: XML employee exports will be discontinued in Q3 2026 (Instance ID 1020),Unclassified
BillingSystem,"Deprecation warning: legacy payment gateways v1 will be disabled on July 1, 2026 (Instance ID 1021)",Unclassified
AuthService,Deprecated authentication mechanism OAuth 1.0 used by client app_884 (Instance ID 1022),Security Alert
DatabaseEngine,Warning: deprecated column 'temp_status' referenced in query (Instance ID 1023),Unclassified
BillingSystem,Subscription sub_9941 renewed successfully (Instance ID 1024),Unclassified
